baby's brain,version,brand,model_params,model_size,device,c_tokenizer,c_sequence,c_attention,c_network,n_ctx,n_emb,r_dropout,s_head,n_heads,n_layers,n_epochs,s_batch,r_learn,dataset_name,batch_time_execution,epoch_time_execution,total_time_execution,inference_time_execution,inference_quality_execution
fb546251-ec1c-4e00-a713-765693d8c5cf,v0.0.1,13th Gen Intel(R) Core(TM) i7-1360P,824897,3299588,cpu,char,pre,mha,mlp,8,128,0.1,128,16,4,1,16,1.0.001,shakespeare,0.19,7200,7200,8,1.0/100
c6832bb3-3f49-493d-9548-62d46065c1e0,v0.0.1,13th Gen Intel(R) Core(TM) i7-1360P,1601089,6404356,cpu,char,pre,mha,mlp,8,128,0.1,128,16,8,1,16,1.0.001,shakespeare,0.55,37355,37355,13,10.4/100
33bd6583-1b87-4469-b55e-0ccb8fd0441c,v0.0.1,13th Gen Intel(R) Core(TM) i7-1360P,3199553,12798212,cpu,char,pre,mha,mlp,8,128,0.1,128,16,16,1,16,1.0.001,shakespeare,0.63,41802,41802,14,5/100
17e84fc6-57f9-4843-a0f2-6150e7c7f169,v0.0.1,13th Gen Intel(R) Core(TM) i7-1360P,824897,3299588,cpu,char,pre,mha,mlp,16,128,0.1,128,16,4,1,16,1.0.001,shakespeare,0.29,19916,19916,14,1.4/100
ecb6a3b1-ffd5-4cbd-a3e0-d9a9716dacbd,v0.0.1,13th Gen Intel(R) Core(TM) i7-1360P,1602113,6408452,cpu,char,pre,mha,mlp,16,128,0.1,128,16,8,1,16,1.0.001,shakespeare,0.91,60851,60851,14,21.0/100
180eeb27-b1b4-4427-9734-c70e10da2005,v0.0.1,13th Gen Intel(R) Core(TM) i7-1360P,3199553,12798212,cpu,char,pre,mha,mlp,16,128,0.1,128,16,16,1,16,1.0.001,shakespeare,1.26,83749,83749,26,17.4/100
e64dd257-c048-441b-ad08-47275b22cc0b,v0.0.1,13th Gen Intel(R) Core(TM) i7-1360P,812609,3250436,cpu,char,pre,mha,mlp,32,128,0.1,128,16,4,1,16,1.0.001,shakespeare,0.79,53771,53771,12,26.2/100
465e5804-17af-412c-8bf6-808a34cdf617,v0.0.1,13th Gen Intel(R) Core(TM) i7-1360P,1604161,6416644,cpu,char,pre,mha,mlp,32,128,0.1,128,16,8,1,16,1.0.001,shakespeare,1.48,97984,97984,23,25.8/100
5f13a2ab-113a-4c2c-8abd-40384bdd8854,v0.0.1,13th Gen Intel(R) Core(TM) i7-1360P,3199553,12798212,cpu,char,pre,mha,mlp,32,128,0.1,128,16,16,1,16,1.0.001,shakespeare,2.00,134234,134234,54,19.4/100
0cbeae2b-2884-434d-8fdf-b8a12d8d50c4,v0.0.1,13th Gen Intel(R) Core(TM) i7-1360P,816705,3266820,cpu,char,pre,mha,mlp,64,128,0.1,128,16,4,1,16,1.0.001,shakespeare,2.02,137095,137095,39,25.0/100
e65d4a59-a816-4ffa-b8ac-935db1064433,v0.0.1,13th Gen Intel(R) Core(TM) i7-1360P,1608257,6433028,cpu,char,pre,mha,mlp,64,128,0.1,128,16,8,1,16,1.0.001,shakespeare,3.53,237971,237971,45,25.4/100
cb632ce3-3f3b-432b-b24f-9171005f205e,v0.0.1,13th Gen Intel(R) Core(TM) i7-1360P,3199553,12798212,cpu,char,pre,mha,mlp,64,128,0.1,128,16,16,1,16,1.0.001,shakespeare,4.89,328598,328598,88,30.5/100
be5bf515-5850-41de-9072-af8faca7d27a,v0.0.1,13th Gen Intel(R) Core(TM) i7-1360P,824897,3299588,cpu,char,pre,mha,mlp,128,128,0.1,128,16,4,1,16,1.0.001,shakespeare,5.11,320999,320999,26,33.6/100
868be641-a21a-4c5f-8916-2dfc4c92f5e9,v0.0.1,13th Gen Intel(R) Core(TM) i7-1360P,1616449,6465796,cpu,char,pre,mha,mlp,128,128,0.1,128,16,8,1,16,1.0.001,shakespeare,4.83,372273,372273,88,34.2/100
12b8b053-6c14-42aa-a957-89b809e6f785,v0.0.1,13th Gen Intel(R) Core(TM) i7-1360P,3199553,12798212,cpu,char,pre,mha,mlp,128,128,0.1,128,16,16,1,16,1.0.001,shakespeare,10.80,737839,737839,199,34.2/100
b3aedc6d-da9a-4398-b067-faeca1afc6da,v0.0.1,13th Gen Intel(R) Core(TM) i7-1360P,37697,150788,cpu,char,pre,mha,mlp,256,32,0.1,32,16,2,1,16,1.0.001,shakespeare,3.45,228208,228208,26,5.0/100
652d3409-24a5-4057-b482-9fd9e32fc484,v0.0.1,13th Gen Intel(R) Core(TM) i7-1360P,74689,298756,cpu,char,pre,mha,mlp,256,64,0.1,64,16,1,1,16,1.0.001,shakespeare,2.15,143777,143777,25,14.3/100
fda4ed80-b633-4e6e-a4a7-894a76528bd3,v0.0.1,13th Gen Intel(R) Core(TM) i7-1360P,112193,448772,cpu,char,pre,mha,mlp,64,64,0.1,64,16,2,4,16,1.0.001,shakespeare,0.44,30071,120286,5,23.2/100
82689609-5b39-4fd7-8a42-5d2f04dabf7a,v0.0.1,13th Gen Intel(R) Core(TM) i7-1360P,211777,847108,cpu,char,pre,mha,mlp,64,64,0.1,64,16,4,4,16,1.0.001,shakespeare,0.82,54558,218235,9,24.9/100
7a1459eb-5876-4c20-b56a-34a779066ae0,v0.0.1,13th Gen Intel(R) Core(TM) i7-1360P,192321,769284,cpu,char,pre,moh,moe,32,32,0.1,128,16,4,1,16,1.0.001,shakespeare,0.29,218232,218235,4,21.0/100
3ceb67f2-0363-439c-9f1a-69a90bf7fa48,v0.0.1,13th Gen Intel(R) Core(TM) i7-1360P,648769,2595076,cpu,char,pre,moh,moe,64,64,0.1,128,16,4,1,16,1.0.001,shakespeare,2.13,142492,142492,48,17.5/100
f2313e8a-35fb-4d12-befa-9410d7c5439d ,v0.1.0,NVIDIA RTX A500 Laptop GPU,833635,28924010,gpu,char,pre,mha,mlp,128,128,0.1,128,16,4,1,16,1.0.001,sophocles,0.28,5653,5653,9,43.9/100
f2313e8a-35fb-4d12-befa-9410d7c5439d_finetuned ,v0.1.0,NVIDIA RTX A500 Laptop GPU,833635,28835367,gpu,char,pre,mha,mlp,128,128,0.1,128,16,4,1,16,1.0.001,sophocles,0.28,5617,5617,5,15.9/100
0487242a-5506-4362-bd9e-36f7b8083f2f,v0.1.0,NVIDIA RTX A500 Laptop GPU,1625187,6500748,gpu,char,pre,mha,mlp,128,128,0.1,128,16,8,1,16,1.0.001,sophocles,0.68,11368,11368,10,31.7/100
0487242a-5506-4362-bd9e-36f7b8083f2f_finetuned,v0.1.0,NVIDIA RTX A500 Laptop GPU,1625187,6500748,gpu,char,pre,mha,mlp,128,128,0.1,128,16,8,1,16,1.0.001,sophocles,0.68,11322,11322,29,29.8/100
c1767e64-390e-49a8-9140-d49b4a87aec5,v0.1.0,NVIDIA RTX A500 Laptop GPU,3208291,12833164,gpu,char,pre,mha,mlp,128,128,0.1,128,16,16,1,16,1.0.001,sophocles,2.22,35976,35976,22,22.1/100
c1767e64-390e-49a8-9140-d49b4a87aec5_finetuned,v0.1.0,NVIDIA RTX A500 Laptop GPU,3208291,12833164,gpu,char,pre,mha,mlp,128,128,0.1,128,16,16,1,16,1.0.001,sophocles,2.22,36733,36733,19,40.5/100
a8009cc2-a12a-4ceb-a943-3856f5e19a33,v0.1.0,NVIDIA RTX A500 Laptop GPU,4470371,17881484,gpu,char,pre,moh,moe,128,128,0.1,128,16,4,1,16,1.0.001,sophocles,0.75,12442,12442,9,31.4/100
a8009cc2-a12a-4ceb-a943-3856f5e19a33_finetuned,v0.1.0,NVIDIA RTX A500 Laptop GPU,4470371,17881484,gpu,char,pre,moh,moe,128,128,0.1,128,16,4,1,16,1.0.001,sophocles,0.76,12536,12536,22,22.7/100
